ID_CHAMADA,CLASSIFICACAO,CLASSIFICACAO_DETALHE,COUNT_COMPORTAMENTO
30,CHAMADA COM ACORDO,CHAMADA COM ACORDO,2
30,PROPOSTA,PRAZO PARA PAGAMENTO,1
30,SONDAGEM,AVALIACAO FINANCEIRA,4
30,SONDAGEM,MOTIVO DO ATRASO,3
31,PROPOSTA,DESCONTO A VISTA,4
31,PROPOSTA,PRAZO PARA PAGAMENTO,2
32,PROPOSTA,DESCONTO A VISTA,1
33,SONDAGEM,AVALIACAO FINANCEIRA,2
33,SONDAGEM,MOTIVO DO ATRASO,2
34,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,3
34,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,6
34,PROPOSTA,PRAZO PARA PAGAMENTO,1
34,SONDAGEM,AVALIACAO FINANCEIRA,7
35,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,4
35,PROPOSTA,DESCONTO A VISTA,2
35,SONDAGEM,MOTIVO DO ATRASO,13
36,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,1
36,CHAMADA COM ACORDO,CHAMADA COM ACORDO,2
36,PROPOSTA,DESCONTO A VISTA,3
36,PROPOSTA,ENTRADA,1
36,PROPOSTA,PRAZO PARA PAGAMENTO,2
36,PROPOSTA,TAXAS  E JUROS,2
36,SONDAGEM,AVALIACAO FINANCEIRA,5
37,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,6
37,PROPOSTA,DESCONTO PARCELADO,1
37,PROPOSTA,PRAZO PARA PAGAMENTO,7
37,SONDAGEM,AVALIACAO FINANCEIRA,1
37,SONDAGEM,MOTIVO DO ATRASO,3
38,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
38,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,2
38,ARGUMENTAÇÃO,NEGATIVAÇÃO,1
38,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
38,PROPOSTA,DESCONTO A VISTA,1
38,PROPOSTA,PRAZO PARA PAGAMENTO,8
38,SONDAGEM,MOTIVO DO ATRASO,11
39,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
39,PROPOSTA,DESCONTO A VISTA,2
39,PROPOSTA,PRAZO PARA PAGAMENTO,4
40,ARGUMENTAÇÃO,NEGATIVAÇÃO,1
40,PROPOSTA,PRAZO PARA PAGAMENTO,3
41,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
41,ARGUMENTAÇÃO,NEGATIVAÇÃO,4
41,PROPOSTA,DESCONTO A VISTA,4
41,PROPOSTA,ENTRADA,1
41,PROPOSTA,PRAZO PARA PAGAMENTO,1
41,SONDAGEM,AVALIACAO FINANCEIRA,11
41,SONDAGEM,MOTIVO DO ATRASO,1
42,SONDAGEM,MOTIVO DO ATRASO,2
43,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,5
43,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,6
43,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
43,PROPOSTA,DESCONTO A VISTA,3
43,PROPOSTA,DESCONTO PARCELADO,2
43,SONDAGEM,MOTIVO DO ATRASO,7
44,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,1
44,PROPOSTA,PRAZO PARA PAGAMENTO,6
44,SONDAGEM,AVALIACAO FINANCEIRA,4
44,SONDAGEM,MOTIVO DO ATRASO,1
45,PROPOSTA,PRAZO PARA PAGAMENTO,4
45,SONDAGEM,MOTIVO DO ATRASO,6
46,ARGUMENTAÇÃO,NEGATIVAÇÃO,3
46,CHAMADA COM ACORDO,CHAMADA COM ACORDO,3
46,PROPOSTA,PRAZO PARA PAGAMENTO,9
46,SONDAGEM,MOTIVO DO ATRASO,3
47,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,3
47,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,1
47,CHAMADA COM ACORDO,CHAMADA COM ACORDO,3
47,SONDAGEM,AVALIACAO FINANCEIRA,1
47,SONDAGEM,MOTIVO DO ATRASO,2
48,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,3
48,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,3
48,PROPOSTA,PRAZO PARA PAGAMENTO,2
48,SONDAGEM,MOTIVO DO ATRASO,3
49,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
49,PROPOSTA,PRAZO PARA PAGAMENTO,1
49,SONDAGEM,MOTIVO DO ATRASO,1
50,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
50,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,1
50,CHAMADA COM ACORDO,CHAMADA COM ACORDO,4
50,PROPOSTA,DESCONTO A VISTA,7
50,PROPOSTA,PRAZO PARA PAGAMENTO,2
50,SONDAGEM,AVALIACAO FINANCEIRA,2
50,SONDAGEM,MOTIVO DO ATRASO,5
51,CHAMADA COM ACORDO,CHAMADA COM ACORDO,3
51,PROPOSTA,PRAZO PARA PAGAMENTO,3
51,SONDAGEM,AVALIACAO FINANCEIRA,3
51,SONDAGEM,MOTIVO DO ATRASO,2
52,CHAMADA COM ACORDO,CHAMADA COM ACORDO,2
53,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
53,PROPOSTA,ENTRADA,1
53,SONDAGEM,AVALIACAO FINANCEIRA,2
53,SONDAGEM,MOTIVO DO ATRASO,2
54,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,1
54,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,6
54,ARGUMENTAÇÃO,NEGATIVAÇÃO,1
54,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
54,PROPOSTA,PRAZO PARA PAGAMENTO,4
54,SONDAGEM,AVALIACAO FINANCEIRA,1
54,SONDAGEM,MOTIVO DO ATRASO,1
55,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
55,ARGUMENTAÇÃO,NEGATIVAÇÃO,2
55,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
55,PROPOSTA,PRAZO PARA PAGAMENTO,2
55,SONDAGEM,AVALIACAO FINANCEIRA,4
55,SONDAGEM,MOTIVO DO ATRASO,4
56,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,3
56,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,2
56,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
56,PROPOSTA,PRAZO PARA PAGAMENTO,6
56,SONDAGEM,MOTIVO DO ATRASO,5
57,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,12
57,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,6
57,PROPOSTA,PRAZO PARA PAGAMENTO,5
57,SONDAGEM,MOTIVO DO ATRASO,9
58,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,1
58,ARGUMENTAÇÃO,NEGATIVAÇÃO,1
58,CHAMADA COM ACORDO,CHAMADA COM ACORDO,5
58,PROPOSTA,DESCONTO A VISTA,4
58,PROPOSTA,PRAZO PARA PAGAMENTO,4
58,SONDAGEM,AVALIACAO FINANCEIRA,4
58,SONDAGEM,MOTIVO DO ATRASO,1
59,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
59,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,6
59,PROPOSTA,DESCONTO A VISTA,1
59,PROPOSTA,PRAZO PARA PAGAMENTO,1
59,SONDAGEM,AVALIACAO FINANCEIRA,2
60,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,3
60,CHAMADA COM ACORDO,CHAMADA COM ACORDO,2
60,PROPOSTA,PRAZO PARA PAGAMENTO,3
60,SONDAGEM,AVALIACAO FINANCEIRA,3
60,SONDAGEM,MOTIVO DO ATRASO,5
61,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,4
61,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
61,PROPOSTA,DESCONTO A VISTA,4
61,PROPOSTA,PRAZO PARA PAGAMENTO,5
61,SONDAGEM,MOTIVO DO ATRASO,8
62,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,3
62,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,4
62,CHAMADA COM ACORDO,CHAMADA COM ACORDO,4
62,PROPOSTA,PRAZO PARA PAGAMENTO,13
63,ARGUMENTAÇÃO,NEGATIVAÇÃO,1
63,CHAMADA COM ACORDO,CHAMADA COM ACORDO,4
63,PROPOSTA,DESCONTO A VISTA,2
63,SONDAGEM,AVALIACAO FINANCEIRA,4
64,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,3
64,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,7
64,PROPOSTA,DESCONTO A VISTA,1
64,PROPOSTA,PRAZO PARA PAGAMENTO,8
64,SONDAGEM,MOTIVO DO ATRASO,1
65,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,1
65,ARGUMENTAÇÃO,NEGATIVAÇÃO,1
65,PROPOSTA,PRAZO PARA PAGAMENTO,5
65,SONDAGEM,MOTIVO DO ATRASO,4
66,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,5
66,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,1
66,CHAMADA COM ACORDO,CHAMADA COM ACORDO,3
66,PROPOSTA,DESCONTO A VISTA,6
66,PROPOSTA,PRAZO PARA PAGAMENTO,5
66,SONDAGEM,MOTIVO DO ATRASO,2
67,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,5
67,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,5
67,PROPOSTA,DESCONTO A VISTA,2
67,PROPOSTA,PRAZO PARA PAGAMENTO,3
68,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,4
68,ARGUMENTAÇÃO,NEGATIVAÇÃO,6
68,CHAMADA COM ACORDO,CHAMADA COM ACORDO,5
68,PROPOSTA,DESCONTO A VISTA,1
68,PROPOSTA,PRAZO PARA PAGAMENTO,2
68,SONDAGEM,MOTIVO DO ATRASO,4
69,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,4
69,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
69,PROPOSTA,PRAZO PARA PAGAMENTO,3
69,SONDAGEM,MOTIVO DO ATRASO,2
70,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
70,ARGUMENTAÇÃO,NEGATIVAÇÃO,2
70,CHAMADA COM ACORDO,CHAMADA COM ACORDO,3
70,PROPOSTA,PRAZO PARA PAGAMENTO,3
70,SONDAGEM,AVALIACAO FINANCEIRA,7
71,CHAMADA COM ACORDO,CHAMADA COM ACORDO,3
71,PROPOSTA,DESCONTO A VISTA,1
71,PROPOSTA,PRAZO PARA PAGAMENTO,8
71,SONDAGEM,MOTIVO DO ATRASO,3
72,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
72,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,2
72,PROPOSTA,DESCONTO A VISTA,2
72,SONDAGEM,AVALIACAO FINANCEIRA,1
73,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,3
73,ARGUMENTAÇÃO,NEGATIVAÇÃO,5
73,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
73,PROPOSTA,DESCONTO A VISTA,1
73,PROPOSTA,PRAZO PARA PAGAMENTO,6
73,PROPOSTA,TAXAS  E JUROS,1
73,SONDAGEM,AVALIACAO FINANCEIRA,6
73,SONDAGEM,MOTIVO DO ATRASO,11
74,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
74,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,1
74,ARGUMENTAÇÃO,NEGATIVAÇÃO,1
74,CHAMADA COM ACORDO,CHAMADA COM ACORDO,6
74,PROPOSTA,DESCONTO A VISTA,1
74,PROPOSTA,PRAZO PARA PAGAMENTO,3
74,SONDAGEM,AVALIACAO FINANCEIRA,10
74,SONDAGEM,MOTIVO DO ATRASO,2
75,ARGUMENTAÇÃO,NEGATIVAÇÃO,1
75,CHAMADA COM ACORDO,CHAMADA COM ACORDO,3
75,PROPOSTA,DESCONTO A VISTA,2
75,PROPOSTA,PRAZO PARA PAGAMENTO,1
75,SONDAGEM,AVALIACAO FINANCEIRA,3
75,SONDAGEM,MOTIVO DO ATRASO,13
76,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
76,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
76,PROPOSTA,PRAZO PARA PAGAMENTO,4
76,SONDAGEM,AVALIACAO FINANCEIRA,3
76,SONDAGEM,MOTIVO DO ATRASO,3
77,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,1
77,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
77,PROPOSTA,DESCONTO A VISTA,3
77,PROPOSTA,PRAZO PARA PAGAMENTO,2
78,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,7
78,PROPOSTA,PRAZO PARA PAGAMENTO,6
78,SONDAGEM,AVALIACAO FINANCEIRA,2
78,SONDAGEM,MOTIVO DO ATRASO,4
79,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,1
79,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,11
79,PROPOSTA,DESCONTO A VISTA,1
79,PROPOSTA,PRAZO PARA PAGAMENTO,4
79,SONDAGEM,AVALIACAO FINANCEIRA,2
80,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
80,PROPOSTA,DESCONTO A VISTA,2
80,PROPOSTA,DESCONTO PARCELADO,1
80,PROPOSTA,PRAZO PARA PAGAMENTO,6
80,SONDAGEM,AVALIACAO FINANCEIRA,4
80,SONDAGEM,MOTIVO DO ATRASO,4
81,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,1
81,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
81,PROPOSTA,PRAZO PARA PAGAMENTO,2
81,SONDAGEM,AVALIACAO FINANCEIRA,2
81,SONDAGEM,MOTIVO DO ATRASO,1
82,PROPOSTA,DESCONTO A VISTA,1
82,PROPOSTA,PRAZO PARA PAGAMENTO,6
82,SONDAGEM,AVALIACAO FINANCEIRA,3
82,SONDAGEM,MOTIVO DO ATRASO,2
83,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,1
83,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,1
83,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
83,PROPOSTA,DESCONTO A VISTA,1
83,PROPOSTA,PRAZO PARA PAGAMENTO,3
83,SONDAGEM,AVALIACAO FINANCEIRA,4
83,SONDAGEM,MOTIVO DO ATRASO,8
84,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,2
84,PROPOSTA,DESCONTO A VISTA,1
84,PROPOSTA,PRAZO PARA PAGAMENTO,8
84,SONDAGEM,MOTIVO DO ATRASO,4
85,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,3
85,PROPOSTA,DESCONTO A VISTA,4
85,SONDAGEM,AVALIACAO FINANCEIRA,4
86,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,3
86,ARGUMENTAÇÃO,NEGATIVAÇÃO,1
86,PROPOSTA,PRAZO PARA PAGAMENTO,1
86,SONDAGEM,AVALIACAO FINANCEIRA,1
86,SONDAGEM,MOTIVO DO ATRASO,4
87,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
87,ARGUMENTAÇÃO,NEGATIVAÇÃO,1
87,CHAMADA COM ACORDO,CHAMADA COM ACORDO,5
87,PROPOSTA,PRAZO PARA PAGAMENTO,1
87,SONDAGEM,AVALIACAO FINANCEIRA,2
87,SONDAGEM,MOTIVO DO ATRASO,5
88,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,4
88,PROPOSTA,DESCONTO A VISTA,1
88,PROPOSTA,PRAZO PARA PAGAMENTO,4
89,PROPOSTA,PRAZO PARA PAGAMENTO,1
90,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,1
90,CHAMADA COM ACORDO,CHAMADA COM ACORDO,3
90,PROPOSTA,DESCONTO A VISTA,5
90,PROPOSTA,DESCONTO PARCELADO,1
90,PROPOSTA,PRAZO PARA PAGAMENTO,5
90,SONDAGEM,AVALIACAO FINANCEIRA,4
90,SONDAGEM,MOTIVO DO ATRASO,5
91,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,3
91,PROPOSTA,PRAZO PARA PAGAMENTO,4
91,SONDAGEM,AVALIACAO FINANCEIRA,3
92,SONDAGEM,MOTIVO DO ATRASO,10
93,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,1
93,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,1
93,CHAMADA COM ACORDO,CHAMADA COM ACORDO,3
93,PROPOSTA,DESCONTO A VISTA,2
93,PROPOSTA,PRAZO PARA PAGAMENTO,4
93,SONDAGEM,AVALIACAO FINANCEIRA,1
94,CHAMADA COM ACORDO,CHAMADA COM ACORDO,2
94,PROPOSTA,PRAZO PARA PAGAMENTO,1
94,SONDAGEM,AVALIACAO FINANCEIRA,1
95,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,1
95,ARGUMENTAÇÃO,NEGATIVAÇÃO,2
95,PROPOSTA,PRAZO PARA PAGAMENTO,9
95,SONDAGEM,AVALIACAO FINANCEIRA,3
96,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
96,PROPOSTA,DESCONTO A VISTA,2
96,SONDAGEM,MOTIVO DO ATRASO,1
97,PROPOSTA,DESCONTO A VISTA,1
97,PROPOSTA,PRAZO PARA PAGAMENTO,3
97,SONDAGEM,MOTIVO DO ATRASO,6
98,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,3
98,CHAMADA COM ACORDO,CHAMADA COM ACORDO,3
98,PROPOSTA,DESCONTO A VISTA,5
98,PROPOSTA,PRAZO PARA PAGAMENTO,7
98,SONDAGEM,AVALIACAO FINANCEIRA,2
98,SONDAGEM,MOTIVO DO ATRASO,5
99,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
99,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,5
99,SONDAGEM,AVALIACAO FINANCEIRA,3
100,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,3
100,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,4
100,SONDAGEM,AVALIACAO FINANCEIRA,8
101,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,1
101,SONDAGEM,MOTIVO DO ATRASO,1
102,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,2
102,CHAMADA COM ACORDO,CHAMADA COM ACORDO,8
102,PROPOSTA,DESCONTO A VISTA,2
102,PROPOSTA,PRAZO PARA PAGAMENTO,3
102,SONDAGEM,MOTIVO DO ATRASO,8
103,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
103,PROPOSTA,DESCONTO A VISTA,3
103,SONDAGEM,AVALIACAO FINANCEIRA,4
104,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,12
104,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,2
104,CHAMADA COM ACORDO,CHAMADA COM ACORDO,6
104,PROPOSTA,PRAZO PARA PAGAMENTO,2
105,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
105,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
105,PROPOSTA,DESCONTO A VISTA,7
105,PROPOSTA,PRAZO PARA PAGAMENTO,3
106,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,1
106,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,5
106,PROPOSTA,PRAZO PARA PAGAMENTO,6
107,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,4
